subject,title,booktitle,homepage,issued,pages,creator
http://localhost/publications/incolls/1957/Incollection1,continuer liefest reformulation,toecaps pinochles liefest,http://www.pinochles.tld/reformulation/vistaed.html,1957,,http://localhost/persons/Shabaan_Voyles
http://localhost/publications/incolls/1957/Incollection2,refuelling cutleries cohorts,flaunts eld cutleries,http://www.eld.tld/cohorts/colonnaded.html,1957,109,http://localhost/persons/Chekhina_Binkowski
http://localhost/publications/incolls/1958/Incollection1,oversize plumaged hayracks,bereavers typist plumaged,http://www.typist.tld/hayracks/bolted.html,1958,122,http://localhost/persons/Abhigna_Furman
http://localhost/publications/incolls/1958/Incollection2,terminally makeable xenia,atomizer rogued makeable,http://www.rogued.tld/xenia/tawdrier.html,1958,185,http://localhost/persons/Lasil_Legum
http://localhost/publications/incolls/1959/Incollection1,erotogenic quitclaiming bends,coffered savages quitclaiming,http://www.savages.tld/bends/nonindustrial.html,1959,,http://localhost/persons/Yulya_Thammavongsa
http://localhost/publications/incolls/1959/Incollection2,perpetrated rhumbaed conjugant,authentically perpetrated schmuck,http://www.schmuck.tld/conjugant/meterage.html,1959,125,http://localhost/persons/Francisca_Gofton
http://localhost/publications/incolls/1959/Incollection3,sawflies proctoscopy omened,disoblige bickers proctoscopy,http://www.bickers.tld/omened/bemired.html,1959,98,http://localhost/persons/Brione_Stahnke
http://localhost/publications/incolls/1960/Incollection1,inaptly vealier ops,maladministrative crawlway vealier,http://www.crawlway.tld/ops/participator.html,1960,24,http://localhost/persons/Coletta_Holtmeier
http://localhost/publications/incolls/1960/Incollection2,enterable totalling scalars,nucleation enterable entertaining,http://www.entertaining.tld/scalars/hirelings.html,1960,,http://localhost/persons/Holdine_Schuering
http://localhost/publications/incolls/1960/Incollection3,vincas typhoids symbolization,electrifier vincas snottier,http://www.snottier.tld/symbolization/slackers.html,1960,166,http://localhost/persons/Adham_Lukianov
http://localhost/publications/incolls/1961/Incollection1,bumpily apprized smallness,antithetical bumpily cowering,http://www.cowering.tld/smallness/captress.html,1961,,http://localhost/persons/Merbok_Kinnett
http://localhost/publications/incolls/1961/Incollection2,bewildering wrongs enemies,petunias bewildering distensions,http://www.distensions.tld/enemies/illogically.html,1961,,http://localhost/persons/Baldasarre_Puzio
http://localhost/publications/incolls/1961/Incollection2,bewildering wrongs enemies,petunias bewildering distensions,http://www.distensions.tld/enemies/illogically.html,1961,,http://localhost/persons/Remi_Surman
http://localhost/publications/incolls/1961/Incollection3,waggling pencilled styling,lateens waggling protectively,http://www.protectively.tld/styling/insensately.html,1961,182,http://localhost/persons/Wigfrid_Routh
http://localhost/publications/incolls/1962/Incollection1,fearer pinfeather blacklisting,signaling fearer attraction,http://www.attraction.tld/blacklisting/scribes.html,1962,166,http://localhost/persons/Emrys_Rothgeb
http://localhost/publications/incolls/1962/Incollection2,estimator complicatedness linguinis,disenfranchises estimator displease,http://www.displease.tld/linguinis/gonophs.html,1962,137,http://localhost/persons/Aldobrando_Pellowski
http://localhost/publications/incolls/1962/Incollection2,estimator complicatedness linguinis,disenfranchises estimator displease,http://www.displease.tld/linguinis/gonophs.html,1962,137,http://localhost/persons/Haniyya_Timberlake
http://localhost/publications/incolls/1962/Incollection3,tuppences denier believability,beldam tuppences differences,http://www.differences.tld/believability/consecrates.html,1962,,http://localhost/persons/Lin_Montavon
http://localhost/publications/incolls/1962/Incollection4,afterimpression inaner predicted,dissimulators afterimpression misspelt,http://www.misspelt.tld/predicted/leukaemia.html,1962,41,http://localhost/persons/Biata_Picerni
http://localhost/publications/incolls/1963/Incollection1,methought incrustation staunchest,cranching methought jerkiest,http://www.jerkiest.tld/staunchest/oftenest.html,1963,153,http://localhost/persons/Ferrante_Astorga
http://localhost/publications/incolls/1963/Incollection2,defuze estimators tenpin,dills defuze indefeasible,http://www.indefeasible.tld/tenpin/syndication.html,1963,59,http://localhost/persons/Eurypylus_Zacher
http://localhost/publications/incolls/1963/Incollection3,crossness relay coccyxes,unreconcilable bruting relay,http://www.bruting.tld/coccyxes/cozened.html,1963,47,http://localhost/persons/Abira_Hemmig
http://localhost/publications/incolls/1963/Incollection3,crossness relay coccyxes,unreconcilable bruting relay,http://www.bruting.tld/coccyxes/cozened.html,1963,47,http://localhost/persons/Silvia_Jilek
http://localhost/publications/incolls/1963/Incollection4,playbill sagier unpersons,kudos adaptations sagier,http://www.adaptations.tld/unpersons/deanship.html,1963,85,http://localhost/persons/Dija_Crary
http://localhost/publications/incolls/1964/Incollection1,bucktoothed giddies centrifugation,trumpets alterations giddies,http://www.alterations.tld/centrifugation/detachers.html,1964,,http://localhost/persons/Lew_Faudree
http://localhost/publications/incolls/1964/Incollection2,primeros preached implies,illustriousness peopling preached,http://www.peopling.tld/implies/demands.html,1964,,http://localhost/persons/Myrra_Silberberg
http://localhost/publications/incolls/1964/Incollection3,adorns cowled fragmentally,digressive adorns trolled,http://www.trolled.tld/fragmentally/poetics.html,1964,33,http://localhost/persons/Hilaria_Pilati
http://localhost/publications/incolls/1964/Incollection3,adorns cowled fragmentally,digressive adorns trolled,http://www.trolled.tld/fragmentally/poetics.html,1964,33,http://localhost/persons/Zarad_Ketterling
http://localhost/publications/incolls/1964/Incollection4,blowfishes rediscovery lithographic,subrace blowfishes erigerons,http://www.erigerons.tld/lithographic/upholstering.html,1964,149,http://localhost/persons/Qaaid_Berlin
http://localhost/publications/incolls/1965/Incollection1,yachtswoman harelike fetishistic,unaddressed cereals harelike,http://www.cereals.tld/fetishistic/extern.html,1965,,http://localhost/persons/Galeschka_Canu
http://localhost/publications/incolls/1965/Incollection2,abrogators pouting equilibrated,ennoblers abrogators zouave,http://www.zouave.tld/equilibrated/zymolysis.html,1965,173,http://localhost/persons/Concordia_Dennington
http://localhost/publications/incolls/1965/Incollection3,initiative perfectibility cubed,chillers initiative sporting,http://www.sporting.tld/cubed/adornment.html,1965,,http://localhost/persons/Lavern_Haynie
http://localhost/publications/incolls/1965/Incollection4,meerschaum philatelist alternatives,pumas saltness philatelist,http://www.saltness.tld/alternatives/grounded.html,1965,121,http://localhost/persons/Wilburn_Faltin
http://localhost/publications/incolls/1965/Incollection5,tympans cockiness fleetest,hypotensive tympans housemaid,http://www.housemaid.tld/fleetest/frenchwoman.html,1965,,http://localhost/persons/Emanuel_Gaytan
http://localhost/publications/incolls/1966/Incollection1,quarts dosimetries windily,depreciatingly biomedical dosimetries,http://www.biomedical.tld/windily/spiel.html,1966,,http://localhost/persons/Hnsel_Tiehen
http://localhost/publications/incolls/1966/Incollection1,quarts dosimetries windily,depreciatingly biomedical dosimetries,http://www.biomedical.tld/windily/spiel.html,1966,,http://localhost/persons/Maru_Harston
http://localhost/publications/incolls/1966/Incollection2,curtesy vegetates declassifications,homophones curtesy attributions,http://www.attributions.tld/declassifications/precalculated.html,1966,82,http://localhost/persons/Lana_Nyce
http://localhost/publications/incolls/1966/Incollection2,curtesy vegetates declassifications,homophones curtesy attributions,http://www.attributions.tld/declassifications/precalculated.html,1966,82,http://localhost/persons/Yelena_Cruise
http://localhost/publications/incolls/1966/Incollection3,apples judgmatic answerers,ensues compiling judgmatic,http://www.compiling.tld/answerers/shallowest.html,1966,111,http://localhost/persons/Yatsuhiro_Pay
http://localhost/publications/incolls/1966/Incollection4,babylonia vanillas howlet,gratuitousness airmailed vanillas,http://www.airmailed.tld/howlet/ochring.html,1966,,http://localhost/persons/Krabava_Benincase
http://localhost/publications/incolls/1966/Incollection5,uprooters galvanometric grizzliest,mineralized reechoed galvanometric,http://www.reechoed.tld/grizzliest/enervates.html,1966,39,http://localhost/persons/Harinakshi_Perillo
http://localhost/publications/incolls/1967/Incollection1,redeemer erose encysting,layettes juntas erose,http://www.juntas.tld/encysting/tenders.html,1967,117,http://localhost/persons/Shozo_Grandjean
http://localhost/publications/incolls/1967/Incollection2,multicellular freshener trashiest,invocational animations freshener,http://www.animations.tld/trashiest/culprits.html,1967,2,http://localhost/persons/Wigbert_Benhaim
http://localhost/publications/incolls/1967/Incollection3,tracheotomies narrowed endleaf,baddy swooped narrowed,http://www.swooped.tld/endleaf/teabowls.html,1967,,http://localhost/persons/Victoriano_Deshner
http://localhost/publications/incolls/1967/Incollection3,tracheotomies narrowed endleaf,baddy swooped narrowed,http://www.swooped.tld/endleaf/teabowls.html,1967,,http://localhost/persons/Kumuda_Olejarz
http://localhost/publications/incolls/1967/Incollection4,chitinous unseeing phrases,tanbarks chitinous idolatrous,http://www.idolatrous.tld/phrases/speckles.html,1967,111,http://localhost/persons/Radokovaia_Berdine
http://localhost/publications/incolls/1967/Incollection5,rainmaker paragons jefes,intermediateness keypunched paragons,http://www.keypunched.tld/jefes/soundings.html,1967,,http://localhost/persons/Ziyaad_Needler
http://localhost/publications/incolls/1967/Incollection6,grayouts dipsomaniacal vivisectional,minifloppy endleaves dipsomaniacal,http://www.endleaves.tld/vivisectional/upholsterer.html,1967,182,http://localhost/persons/Cinja_Grismore
http://localhost/publications/incolls/1968/Incollection1,shirtmaker buckish ferrotypes,hibernating shirtmaker undoubtedly,http://www.undoubtedly.tld/ferrotypes/cyprians.html,1968,107,http://localhost/persons/Fei_Isenberger
http://localhost/publications/incolls/1968/Incollection2,squanders moneymakers caracal,pasters tenser moneymakers,http://www.tenser.tld/caracal/gleemen.html,1968,,http://localhost/persons/Tajo_Quarles
http://localhost/publications/incolls/1968/Incollection3,assessments chafes erupted,radioisotopic assessments unnavigable,http://www.unnavigable.tld/erupted/endangers.html,1968,23,http://localhost/persons/Logan_Misiak
http://localhost/publications/incolls/1968/Incollection3,assessments chafes erupted,radioisotopic assessments unnavigable,http://www.unnavigable.tld/erupted/endangers.html,1968,23,http://localhost/persons/Edenia_Mazikowski
http://localhost/publications/incolls/1968/Incollection4,departmentalize regularizer boisterousness,repast equaling regularizer,http://www.equaling.tld/boisterousness/trainsickness.html,1968,32,http://localhost/persons/Tangi_Trippi
http://localhost/publications/incolls/1968/Incollection5,gossips ostracize insalubrity,slenderize bruits ostracize,http://www.bruits.tld/insalubrity/crops.html,1968,26,http://localhost/persons/Anette_Wierenga
http://localhost/publications/incolls/1968/Incollection6,beltings nonpoisonous repeaters,vocalizing laryngitic nonpoisonous,http://www.laryngitic.tld/repeaters/eliminations.html,1968,194,http://localhost/persons/Musaaid_Alampi
http://localhost/publications/incolls/1969/Incollection1,disorientated tartlet sauciest,excrements disorientated cords,http://www.cords.tld/sauciest/decoys.html,1969,183,http://localhost/persons/Jarini_Eakles
http://localhost/publications/incolls/1969/Incollection2,dualities reproducers parlayer,bragger agreeableness reproducers,http://www.agreeableness.tld/parlayer/caddishly.html,1969,77,http://localhost/persons/Mishe_Pesa
http://localhost/publications/incolls/1969/Incollection3,shivareed dotty pupating,dapperer shivareed furlers,http://www.furlers.tld/pupating/prosthetics.html,1969,168,http://localhost/persons/Anyon_Phillipson
http://localhost/publications/incolls/1969/Incollection4,merchandisable chipper punters,stetted merchandisable assurers,http://www.assurers.tld/punters/mangos.html,1969,,http://localhost/persons/Masha_Shevlin
http://localhost/publications/incolls/1969/Incollection5,loving misdefines rediscount,dancers loving prizers,http://www.prizers.tld/rediscount/helving.html,1969,115,http://localhost/persons/Naraka_Peppler
http://localhost/publications/incolls/1969/Incollection5,loving misdefines rediscount,dancers loving prizers,http://www.prizers.tld/rediscount/helving.html,1969,115,http://localhost/persons/Anita_Kataoka
http://localhost/publications/incolls/1969/Incollection6,burgoo technicians cocomat,warfarin condescendingly technicians,http://www.condescendingly.tld/cocomat/grubbily.html,1969,178,http://localhost/persons/Laertes_Klemash
http://localhost/publications/incolls/1969/Incollection6,burgoo technicians cocomat,warfarin condescendingly technicians,http://www.condescendingly.tld/cocomat/grubbily.html,1969,178,http://localhost/persons/Laikina_Cheirs
http://localhost/publications/incolls/1969/Incollection7,deadwoods insolubility glumly,aquacades scruffiest insolubility,http://www.scruffiest.tld/glumly/disillusion.html,1969,,http://localhost/persons/Min_Birely
http://localhost/publications/incolls/1969/Incollection7,deadwoods insolubility glumly,aquacades scruffiest insolubility,http://www.scruffiest.tld/glumly/disillusion.html,1969,,http://localhost/persons/Briddi_Spargur
http://localhost/publications/incolls/1970/Incollection1,burls indemnifier snobbism,blindest burls mudguards,http://www.mudguards.tld/snobbism/recantations.html,1970,31,http://localhost/persons/Suelita_Volante
http://localhost/publications/incolls/1970/Incollection2,tokyoite hearses hummingbirds,reshipping tawniness hearses,http://www.tawniness.tld/hummingbirds/booting.html,1970,,http://localhost/persons/Estefana_Reitan
http://localhost/publications/incolls/1970/Incollection2,tokyoite hearses hummingbirds,reshipping tawniness hearses,http://www.tawniness.tld/hummingbirds/booting.html,1970,,http://localhost/persons/Jotaro_Scarritt
http://localhost/publications/incolls/1970/Incollection3,sauceboxes perfection underclerks,endangerments overprotects perfection,http://www.overprotects.tld/underclerks/roc.html,1970,,http://localhost/persons/Iakun_Debeaumont
http://localhost/publications/incolls/1970/Incollection4,yellowbelly cardsharper mealies,prohibitor gulfed cardsharper,http://www.gulfed.tld/mealies/dhole.html,1970,6,http://localhost/persons/Franika_Agee
http://localhost/publications/incolls/1970/Incollection5,asperses pieta blunders,gossipers asperses unwove,http://www.unwove.tld/blunders/killers.html,1970,129,http://localhost/persons/Nesto_Pealer
http://localhost/publications/incolls/1970/Incollection6,clueing phoning spouts,blether clueing dishy,http://www.dishy.tld/spouts/otoscopies.html,1970,127,http://localhost/persons/Adina_Asen
http://localhost/publications/incolls/1970/Incollection7,masticating squibs biller,juxtapositions rupiah squibs,http://www.rupiah.tld/biller/observatories.html,1970,177,http://localhost/persons/Ojal_Amorello
http://localhost/publications/incolls/1971/Incollection1,checked demoiselles endows,imbalances checked daftly,http://www.daftly.tld/endows/catamaran.html,1971,149,http://localhost/persons/Nazeema_Moranda
http://localhost/publications/incolls/1971/Incollection1,checked demoiselles endows,imbalances checked daftly,http://www.daftly.tld/endows/catamaran.html,1971,149,http://localhost/persons/Ahladita_Sellers
http://localhost/publications/incolls/1971/Incollection2,iciness spearheaded broadaxes,hutched guatemalan spearheaded,http://www.guatemalan.tld/broadaxes/cryonics.html,1971,49,http://localhost/persons/ChIyses_Bacca
http://localhost/publications/incolls/1971/Incollection3,emporia goldurn departmentally,chromospheric multichannel goldurn,http://www.multichannel.tld/departmentally/nighthawks.html,1971,21,http://localhost/persons/Panteleimon_Marlo
http://localhost/publications/incolls/1971/Incollection4,plats inhabitable hutments,acids rebroadcasted inhabitable,http://www.rebroadcasted.tld/hutments/suspiciously.html,1971,120,http://localhost/persons/Marysia_Cofran
http://localhost/publications/incolls/1971/Incollection5,bowered brahmanists unfitting,slinkily bowered crystalloidal,http://www.crystalloidal.tld/unfitting/demographics.html,1971,112,http://localhost/persons/Reyene_Hukle
http://localhost/publications/incolls/1971/Incollection6,alderwomen humiliating hotfoots,echidnas alderwomen fopperies,http://www.fopperies.tld/hotfoots/founds.html,1971,73,http://localhost/persons/Cinda_Sorrells
http://localhost/publications/incolls/1971/Incollection6,alderwomen humiliating hotfoots,echidnas alderwomen fopperies,http://www.fopperies.tld/hotfoots/founds.html,1971,73,http://localhost/persons/Sheila_Jurney
http://localhost/publications/incolls/1971/Incollection7,buttoner uncommonly palest,halftimes buttoner foreboded,http://www.foreboded.tld/palest/sniffler.html,1971,,http://localhost/persons/Lexa_Grapes
http://localhost/publications/incolls/1971/Incollection8,evangelize clitoridectomies inoculant,equalities killjoys clitoridectomies,http://www.killjoys.tld/inoculant/ensorcel.html,1971,33,http://localhost/persons/Putok_Dunt
http://localhost/publications/incolls/1972/Incollection1,languidness smolders scorner,propagandizes languidness buttoning,http://www.buttoning.tld/scorner/sierras.html,1972,,http://localhost/persons/Naizen_Gabossi
http://localhost/publications/incolls/1972/Incollection2,menacing overbooked cyclically,deployment reelection overbooked,http://www.reelection.tld/cyclically/encroaching.html,1972,53,http://localhost/persons/Karena_Teters
http://localhost/publications/incolls/1972/Incollection3,garters apprehensible arbitragers,troubleshooting reset apprehensible,http://www.reset.tld/arbitragers/syringed.html,1972,,http://localhost/persons/Lukeria_Bibler
http://localhost/publications/incolls/1972/Incollection3,garters apprehensible arbitragers,troubleshooting reset apprehensible,http://www.reset.tld/arbitragers/syringed.html,1972,,http://localhost/persons/Europa_Kostura
